dataset,group,samples,paired
glycomics_human_gastric_O_PMC5762837,healthy,"healthy_1A,healthy_2A,healthy_3A,healthy_4A,healthy_5A,healthy_6A",TRUE
glycomics_human_gastric_O_PMC5762837,cancer,"cancer_1B,cancer_2B,cancer_3B,cancer_4B,cancer_5B,cancer_6B",TRUE
glycomics_human_serum_bacteremia_N_PMID33535571,EC,"SC_160320_EC_2_NG,SC_300620_EC_5_NG,SC_300620_EC_32_NG,SC_300620_EC_34_NG,SC_300620_EC_37_NG,SC_160320_EC_39_NG,SC_160320_EC_42_NG,SC_160320_EC_43_NG,SC_160320_EC_45_NG,SC_160320_EC_55_NG,SC_160320_EC_64_NG",FALSE
glycomics_human_serum_bacteremia_N_PMID33535571,PA,"SC_300620_PA_51_NG,SC_300620_PA_56_NG,SC_300620_PA_63_NG,SC_300620_PA_71_NG,SC_300620_PA_83_NG",FALSE
glycomics_human_serum_bacteremia_N_PMID33535571,SA,"SC_300620_SA_9_NG,SC_300620_SA_11_NG,SC_300620_SA_15_NG,SC_300620_SA_23_NG,SC_300620_SA_27_NG,SC_300620_SA_38_NG,SC_300620_SA_44_NG,SC_300620_SA_49_NG,SC_300620_SA_60_NG,SC_300620_SA_62_NG,SC_300620_SA_81_NG",FALSE
glycomics_human_serum_bacteremia_N_PMID33535571,SV,"SC_160320_SV_8_NG,SC_160320_SV_47_NG,SC_160320_SV_57_NG,SC_160320_SV_69_NG,SC_160320_SV_75_NG",FALSE
glycomics_human_serum_bacteremia_N_PMID33535571,HV,"SC_180320_HV_9F_NG,SC_300620_HV_11F_NG,SC_300620_HV_14F_NG,SC_300620_HV_18F_NG,SC_300620_HV_21F_NG,SC_300620_HV_22F_NG,SC_180320_HV_24F_NG,SC_180320_HV_26F_NG,SC_180320_HV_30F_NG,SC_300620_HV_35F_NG,SC_300620_HV_41F_NG,SC_180320_HV_49F_NG,SC_300620_HV_52F_NG,SC_180320_HV_59F_NG,SC_180320_HV_64F_NG,SC_300620_HV_79F_NG,SC_180320_HV_87F_NG,SC_180320_HV_89F_NG,SC_300620_HV_90F_NG,SC_180320_HV_1M_NG,SC_300620_HV_2M_NG,SC_180320_HV_6M_NG,SC_300620_HV_8M_NG,SC_180320_HV_10M_NG,SC_300620_HV_12M_NG,SC_180320_HV_28M_NG,SC_180320_HV_34M_NG,SC_300620_HV_39M_NG,SC_180320_HV_44M_NG,SC_180320_HV_45M_NG,SC_180320_HV_46M_NG,SC_300620_HV_57M_NG,SC_180320_HV_70M_NG,SC_300620_HV_72M_NG,SC_180320_HV_73M_NG,SC_300620_HV_77M_NG,SC_180320_HV_88M_NG,SC_300620_HV_92M_NG,SC_300620_ HV_100M_NG",FALSE
glycomics_HIV_gagtransfection_N_PMID35112714,nontransfected,"nontransfected_1,nontransfected_2,nontransfected_3,nontransfected_4",FALSE
glycomics_HIV_gagtransfection_N_PMID35112714,mocktransfected,"mocktransfected_1,mocktransfected_2,mocktransfected_3,mocktransfected_4",FALSE
glycomics_HIV_gagtransfection_N_PMID35112714,gagtransfected,"gagtransfected_1,gagtransfected_2,gagtransfected_3,gagtransfected_4",FALSE
glycomics_HIV_gagtransfection_O_PMID35112714,nontransfected,"nontransfected_1,nontransfected_2,nontransfected_3,nontransfected_4",FALSE
glycomics_HIV_gagtransfection_O_PMID35112714,mocktransfected,"mocktransfected_1,mocktransfected_2,mocktransfected_3,mocktransfected_4",FALSE
